"Name_game","Publisher","Genre","Year_release","Score"
"Naruto to Boruto: Shinobi Striker","Bandai Namco Games","Action",2018,8.5
"Nefarious","Digerati","Platform",2018,7
"New Gundam Breaker","Namco Bandai Games","Action",2018,2.8
"Ni no Kuni II: Revenant Kingdom","Namco Bandai Games","Role-Playing",2018,8.7
"Nickelodeon Kart Racers","GameMill Entertainment","Racing",2018,2
"Nintendo Labo: Toy-Con 01 Variety Kit","Nintendo","Misc",2018,7.7
"Nintendo Labo: Toy-Con 02 Robot Kit","Nintendo","Action",2018,7
"Nintendo Labo: Toy-Con 03 Vehicle Kit","Nintendo","Racing",2018,7
"Octogeddon","All Yes Good","Action",2018,7.5
"Octopath Traveler","Nintendo","Role-Playing",2018,8.4
"Old Man's Journey","Broken Rules","Puzzle",2018,8.8
"Omega Strike","Digerati","Shooter",2018,9
"Omensight","SpearHead Games","Action",2018,8
"One Piece: Pirate Warriors 3 - Deluxe Edition","Bandai Namco Entertainment","Action",2018,8.5
"Overcooked Special Edition","Team 17","Simulation",2018,8.4
"Overcooked! 2","Sold Out","Simulation",2018,8.4
"Override: Mech City Brawl","Modus Games","Action-Adventure",2018,7
"Owlboy","Soedesco","Platform",2018,9
"Paranautical Activity","Digerati","Shooter",2018,4
"Penny-Punching Princess","NIS America","Misc",2018,7.75
"Persian Nights: Sands Of Wonders","Artifex Mundi sp. z o.o.","Puzzle",2018,7.5
"Pizza Titan Ultra","Breakfall","Action",2018,8.5
"Pode","Henchman & Goon","Adventure",2018,9
"Pokemon: Let's Go, Eevee!","Nintendo","Role-Playing",2018,8.3
"Pokemon: Let's Go, Pikachu!","Nintendo","Role-Playing",2018,8.3
"Pure Farming 2018","Techland","Simulation",2018,7
"Rad Rodgers","THQ Nordic","Platform",2018,7
"Radiant Historia: Perfect Chronology","Atlus","Role-Playing",2018,8.1
"Railway Empire","Kalypso Media","Simulation",2018,8.3
"Red Dead Redemption 2","Rockstar Games","Action-Adventure",2018,9.8
"Runner3","Nicalis","Platform",2018,8.25
"Rust","Facepunch Studios","Action-Adventure",2018,6.1
"Sea of Thieves","Microsoft Studios","Action-Adventure",2018,6.9
"Shadow of the Colossus","Sony Interactive Entertainment","Action-Adventure",2018,9.3
"Shadows: Awakening","Kalypso Media","Role-Playing",2018,8.5
"Shu","Coatsink Software","Platform",2018,7.5
"Sid Meier's Civilization VI: Rise and Fall","2K Games","Strategy",2018,8.3
"Slayaway Camp: Butcher's Cut","Digerati","Puzzle",2018,8.9
"SNK 40th Anniversary Collection","NIS America","Misc",2018,7.5
"Starlink: Battle for Atlas","Ubisoft","Action-Adventure",2018,6.75
"State of Decay 2","Microsoft Studios","Action-Adventure",2018,7
"Street Fighter 30th Anniversary Collection","Capcom","Fighting",2018,8.5
"Super Mario Party","Nintendo","Party",2018,7.3
"Super Meat Boy","BlitWorks","Platform",2018,8
"Super Smash Bros. Ultimate","Nintendo","Fighting",2018,9.55
"Super Sportmatchen","DANGEN Entertainment","Sports",2018,8.5
"Sushi Striker: The Way of Sushido","Nintendo","Puzzle",2018,7.9
"Taiko no Tatsujin: Drum 'n' Fun!","Bandai Namco Games","Music",2018,7.5
"Talon Man Remastered","Out of crumpet's:","Puzzle",2018,9
"The Alliance Alive","Atlus","Role-Playing",2018,7.3
"The Crew 2","Ubisoft","Racing",2018,6.5
"The Elder Scrolls Online: Summerset","Bethesda Softworks","MMO",2018,7.5
"The Lost Child","NIS America","Role-Playing",2018,7.5
"The Raven Remastered","THQ Nordic","Adventure",2018,8.4
"The Witch and the Hundred Knight 2","NIS America","Role-Playing",2018,6.8
"The World Ends with You: Final Remix","Nintendo","Role-Playing",2018,7.4
"Twin Robots Ultimate Edition","Ratalaika Games","Platform",2018,7.6
"Undertale","4-Aug","Role-Playing",2018,9
"Valkyria Chronicles 4","Sega","Strategy",2018,8.6
"Vampyr","Focus Home Interactive","Role-Playing",2018,8.5
"Venture Kid","Snikkabo AS","Platform",2018,8.5
"VOEZ","PM Studios","Music",2018,8.5
"WarioWare Gold","Nintendo","Misc",2018,8.1
"Warriors Orochi 4","Koei Tecmo","Action",2018,8.5
"WORKxWORK","FuRyu Corporation","Role-Playing",2018,2.5
"Xenoblade Chronicles 2: Torna ~ The Golden Country","Nintendo","Role-Playing",2018,7.5
"Yoku's Island Express","Villa Gorilla","Action",2018,9
"1-2-Switch","Nintendo","Party",2017,5.7
"ACA NEOGEO BLUE'S JOURNEY","Hamster Corporation","Action",2017,6.5
"ARMS","Nintendo","Fighting",2017,7.9
"Battle Chasers: Nightwar","THQ Nordic","Role-Playing",2017,8.5
"Battle Chef Brigade","Adult Swim","Action",2017,7.5
"Battle Chef Brigade","Trinket Studios","Action",2017,8
"Bleed","Digerati","Action",2017,8.3
"Blossom Tales: The Sleeping King","FDG Entertainment","Adventure",2017,10
"Bubsy: The Woolies Strike Back","Accolade","Platform",2017,2
"Bullet Witch","Unknown","Action",2017,5
"Call of Duty: WWII","Activision","Shooter",2017,8
"Cooking Mama: Sweet Shop","Rising Star Games","Simulation",2017,6
"Cosmic Star Heroine","Zeboyd Games","Role-Playing",2017,7.5
"Crash Bandicoot N. Sane Trilogy","Activision","Platform",2017,6
"Culdcept Revolt","NIS America","Strategy",2017,7.3
"DiRT 4","Deep Silver","Racing",2017,5.5
"Disgaea 5 Complete","NIS America","Role-Playing",2017,9
"DOOM VFR","Bethesda Softworks","Shooter",2017,8
"Dragon Quest VIII: Journey of the Cursed King","Nintendo","Role-Playing",2017,8.8
"Enigmatis 2: The Mists Of Ravenwood","Artifex Mundi sp. z o.o.","Puzzle",2017,8
"Enigmatis: The Ghosts Of Maple Creek","Artifex Mundi sp. z o.o.","Puzzle",2017,7
"Enter the Gungeon","Devolver Digital","Action",2017,8.4
"Etrian Odyssey V: Beyond the Myth","Atlus","Role-Playing",2017,7.9
"Ever Oasis","Nintendo","Role-Playing",2017,8.1
"Everybody's Golf","Sony Interactive Entertainment","Sports",2017,8.1
"Fast RMX","Shin'en","Racing",2017,8
"Fate/Extella: The Umbral Star","Xseed Games","Action",2017,8
"FIFA 18","EA Sports","Sports",2017,8.7
"Fire Emblem Echoes: Shadows of Valentia","Nintendo","Role-Playing",2017,8.3
"Fire Emblem Warriors","Nintendo","Action",2017,8.45
"Forza Motorsport 7","Microsoft Studios","Racing",2017,8.9
"Gang Beasts","Double Fine Presents","Fighting",2017,6
"Gear.Club Unlimited","Microids","Racing",2017,6.1
"GNOG","Double Fine Presents","Puzzle",2017,7.9
"Golf Story","Sidebar Games","Adventure",2017,8
"Gorogoa","Annapurna Interactive","Puzzle",2017,8.5
"Gundam Versus","Namco Bandai Games","Action",2017,7.3
"Has-Been Heroes","GameTrust","Action",2017,4.8
"Hey! Pikmin","Nintendo","Platform",2017,6.8
"Hollow Knight","Team Cherry","Action-Adventure",2017,10
"Horizon: Zero Dawn","Sony Interactive Entertainment","Action",2017,8.55
"Just Dance 2018","Ubisoft","Music",2017,8
"Kingdom Hearts HD II.8 Final Chapter Prologue","Square Enix","Role-Playing",2017,7.6
"Knack 2","Sony Interactive Entertainment","Platform",2017,6.7
"League of Evil","Ratalaika Games","Action",2017,7
"LEGO City Undercover","Warner Bros. Interactive Entertainment","Platform",2017,8
"Life Is Strange: Before the Storm","Square Enix","Adventure",2017,7.5
"Little Nightmares","Namco Bandai Games","Platform",2017,8.6
"Madden NFL 18","EA Sports","Sports",2017,8.8
"Mario + Rabbids: Kingdom Battle","Ubisoft","Strategy",2017,8.3
"Mario Kart 8 Deluxe","Nintendo","Racing",2017,9.3
"Mario Party: The Top 100","Nintendo","Misc",2017,5
"Mario Sports Superstars","Nintendo","Sports",2017,6
"Metroid: Samus Returns","Nintendo","Action-Adventure",2017,9.1
"Mighty Gunvolt Burst","Inti Creates","Action",2017,8
"Miitopia","Nintendo","Role-Playing",2017,6.6
"Minecraft","Nintendo","Misc",2017,6.7
"Monopoly for Nintendo Switch","Ubisoft","Board Game",2017,5.3
"Monster Hunter Stories","Capcom","Role-Playing",2017,8.1
"Namco Museum","Namco Bandai Games","Misc",2017,7.7
"Naruto Shippuden: Ultimate Ninja Storm Trilogy","Bandai Namco Games","Fighting",2017,7.5
"NBA 2K18","2K Sports","Sports",2017,8.1
"Need for Speed: Payback","Electronic Arts","Racing",2017,6.5
"Nidhogg 2","Messhof","Action",2017,8
"Night in the Woods","Finji","Adventure",2017,8.5
"Night in the Woods","Unknown","Adventure",2017,8.8
"Okami HD","Capcom","Action",2017,10
"One More Dungeon","Ratalaika Games","Role-Playing",2017,6
"Paladins: Champions of the Realm","Hi-Rez Studios","Shooter",2017,8
"Perception","Feardemic","Adventure",2017,6.95
"Picross S","Jupiter Corporation","Puzzle",2017,8.5
"Piczle Lines DX","Score Studios","Puzzle",2017,6.9
"Poi","Polykid","Platform",2017,5
"Pokemon: Ultra Sun and Ultra Moon","Nintendo","Role-Playing",2017,8.1
"Pokken Tournament DX","Nintendo","Fighting",2017,8
"Poochy & Yoshi's Woolly World","Nintendo","Platform",2017,7.5
"Pyre","Supergiant Games","Role-Playing",2017,8.9
"Resident Evil VII: Biohazard","Capcom","Action",2017,8.6
"RiME","Grey Box","Adventure",2017,7.1
"RPG Maker: Fes","NIS America","Role-Playing",2017,7
"Senran Kagura: Peach Beach Splash","Xseed Games","Action",2017,7.6
"Sine Mora EX","THQ Nordic","Action",2017,8
"Snipperclips Plus: Cut It Out, Together!","Nintendo","Puzzle",2017,8.35
"SOMA","Frictional Games","Adventure",2017,9
"Sonic Forces","Sega","Platform",2017,5.4
"Sonic Mania","Sega","Platform",2017,8.8
"South Park: The Fractured But Whole","Ubisoft","Role-Playing",2017,9.5
"Splatoon 2","Nintendo","Shooter",2017,8.2
"Squareboy vs Bullies: Arena Edition","Ratalaika Games","Fighting",2017,6.5
"Stardew Valley","505 Games","Simulation",2017,8.8
"Story of Seasons: Trio of Towns","Marvelous Interactive","Simulation",2017,7.9
"Strafe","Devolver Digital","Shooter",2017,7.2
"Style Savvy: Styling Star","Nintendo","Simulation",2017,8.5
"Super Bomberman R","Konami Digital Entertainment","Puzzle",2017,6.3
"Super Lucky's Tale","Microsoft Studios","Platform",2017,6.5
"Super Mario Odyssey","Nintendo","Platform",2017,9.9
"The Binding of Isaac: Afterbirth+","Nicalis","Action",2017,9
"The Coma: Recut","Digerati","Adventure",2017,7.8
"The Legend of Heroes: Trails in the Sky the 3rd","Xseed Games","Role-Playing",2017,8.5
"The Legend of Heroes: Trails of Cold Steel III","Nihon Falcom Corporation","Role-Playing",2017,7
"The Legend of Zelda: Breath of the Wild","Nintendo","Action-Adventure",2017,10
"Thumper","Drool","Music",2017,9.15
"Tom Clancy's Ghost Recon Wildlands","Ubisoft","Shooter",2017,7.7
"TumbleSeed","aeiowu","Action-Adventure",2017,7
"Ultra Street Fighter II: The Final Challengers","Capcom","Fighting",2017,7
"Wolfenstein II: The New Colossus","Bethesda Softworks","Shooter",2017,9
"Wonder Boy: The Dragon's Trap (Remake)","DotEmu","Platform",2017,7.45
"Worlds Adrift","Bossa Studios","MMO",2017,8.6
"Xenoblade Chronicles 2","Nintendo","Role-Playing",2017,8.2
"Yodanji","Kemco","Role-Playing",2017,9
"Yooka-Laylee","Sold Out","Platform",2017,9.3
"Ys VIII: Lacrimosa of Dana","NIS America","Role-Playing",2017,7.6
"Zero: Tsukihami no Kamen","Unknown","Action",2017,7.5
"7th Dragon III Code: VFD","Sega","Role-Playing",2016,7.5
"Assetto Corsa","505 Games","Racing",2016,6
"Azure Striker Gunvolt 2","Inti Creates","Action",2016,8.3
"Bigley's Revenge","Unknown","Action",2016,3.9
"Bravely Second: End Layer","Nintendo","Role-Playing",2016,7.4
"Cartoon Network Battle Crashers","GameMill","Action",2016,3.5
"Disgaea PC","NIS America","Role-Playing",2016,9.5
"Disney Magic World 2","Nintendo","Simulation",2016,7.5
"Doom (2016)","Bethesda Softworks","Shooter",2016,8.65
"Dragon Ball: Fusions","Namco Bandai Games","Role-Playing",2016,6.3
"Dragon Ball: Xenoverse 2","Namco Bandai Games","Action",2016,8
"Dragon Quest Builders: Revive Alefgard","Square Enix","Role-Playing",2016,8
"Far Cry: Primal","Ubisoft","Action-Adventure",2016,8
"FIFA 17","Electronic Arts","Sports",2016,8.9
"Final Fantasy Explorers","Square Enix","Role-Playing",2016,7.3
"Final Fantasy XV","Square Enix","Role-Playing",2016,8.1
"Firewatch","Campo Santo","Adventure",2016,8.2
"Forza Horizon 3","Microsoft Studios","Racing",2016,9
"Gravity Rush Remastered","Sony Computer Entertainment","Action-Adventure",2016,7.9
"Harvest Moon: Skytree Village","Natsume","Simulation",2016,5
"I am Setsuna","Square Enix","Role-Playing",2016,7
"Inside","Playdead","Platform",2016,9
"Just Dance 2017","Ubisoft","Music",2016,6.5
"Kirby: Planet Robobot","Nintendo","Action",2016,7.7
"Langrisser: Re:Incarnation Tensei","Aksys Games","Role-Playing",2016,1.5
"Madden NFL 17","EA Sports","Sports",2016,8.5
"Mafia III","2K Games","Action-Adventure",2016,6.9
"Mario & Luigi: Paper Jam","Nintendo","Role-Playing",2016,7.4
"Mario Party: Star Rush","Nintendo","Party",2016,6.2
"Metroid Prime: Federation Force","Nintendo","Action",2016,6.3
"Monster Hunter Generations","Capcom","Action",2016,8.8
"NBA 2K17","2K Sports","Sports",2016,9
"Nightmares From The Deep: The Cursed Heart","Artifex Mundi sp. z o.o.","Puzzle",2016,8
"No Man's Sky","Hello Games","Action-Adventure",2016,6.8
"Overwatch","Blizzard Entertainment","Shooter",2016,9.5
"Paper Mario: Color Splash","Nintendo","Action-Adventure",2016,6.9
"Phoenix Wright: Ace Attorney: Spirit of Justice","Capcom","Adventure",2016,8.1
"Picross 3D Round 2","Nintendo","Puzzle",2016,8.6
"Pokemon GO","Niantic","Role-Playing",2016,6
"Pokemon Sun/Moon","Nintendo","Role-Playing",2016,9
"Pokken Tournament","Nintendo","Fighting",2016,7.6
"Project X Zone 2","Namco Bandai Games","Role-Playing",2016,6.6
"Return to PopoloCrois: A Story of Seasons Fairytale","Xseed Games","Simulation",2016,7
"Rhythm Heaven Megamix","Nintendo","Music",2016,8.8
"Rocket League","505 Games","Sports",2016,9.2
"Sega 3D Classics Collection","Sega","Misc",2016,7
"Shadow Tactics: Blades of the Shogun","Daedalic Entertainment","Strategy",2016,8.3
"Shantae: Half-Genie Hero","WayForward Technologies","Platform",2016,9
"Shin Megami Tensei IV: Apocalypse","Atlus","Role-Playing",2016,8.1
"Sid Meier's Civilization VI","2K Games","Strategy",2016,9.4
"Skylanders Imaginators","Activision","Platform",2016,6.9
"Sonic Boom: Fire & Ice","Sega","Platform",2016,6.9
"Space Hulk: Deathwing","Focus Home Interactive","Shooter",2016,7.5
"Star Fox: Zero","Nintendo","Shooter",2016,6.7
"Stardew Valley","Chucklefish","Simulation",2016,9.2
"Style Savvy: Fashion Forward","Nintendo","Simulation",2016,6.5
"The Elder Scrolls V: Skyrim Special Edition","Bethesda Softworks","Role-Playing",2016,8.3
"The Last Guardian","Sony Interactive Entertainment","Action-Adventure",2016,7.9
"The Legend of Zelda: Twilight Princess HD","Nintendo","Action-Adventure",2016,8.4
"Titanfall 2","Electronic Arts","Shooter",2016,8.9
"Tokyo Mirage Sessions #FE","Nintendo","Role-Playing",2016,8
"Uncharted 4: A Thief's End","Sony Interactive Entertainment","Action",2016,9.2
"VA-11 HALL-A","Ysbryd Games","Adventure",2016,8.4
"Wheels of Aurelia","Mixedbag Srl","Visual Novel",2016,8
"Zero Escape: Zero Time Dilemma","Aksys Games","Adventure",2016,7.7
"Affordable Space Adventures","KnapNok Games","Action",2015,9.1
"Animal Crossing: Amiibo Festival","Nintendo","Party",2015,4.8
"Animal Crossing: Happy Home Designer","Nintendo","Simulation",2015,6.6
"ARK: Survival Evolved","Studio Wildcard","Action-Adventure",2015,4
"Assassin's Creed Syndicate","Ubisoft","Action",2015,8.6
"Axiom Verge","Thomas Happ Games","Action",2015,7.5
"Batman: Arkham Knight","Warner Bros. Interactive","Action",2015,8.1
"Bloodborne","Sony Computer Entertainment","Role-Playing",2015,8.2
"Chibi-Robo! Zip Lash","Nintendo","Platform",2015,5.5
"Code Name: S.T.E.A.M.","Nintendo","Strategy",2015,8
"Darksiders II: Deathinitive Edition","Nordic Games","Action-Adventure",2015,7.5
"Dead or Alive 5 Last Round","Tecmo Koei","Fighting",2015,7.5
"Devil's Third","Nintendo","Action",2015,4.75
"Dragon Ball Z: Extreme Butoden","Namco Bandai Games","Fighting",2015,5
"Etrian Mystery Dungeon","Atlus","Role-Playing",2015,7.6
"Etrian Odyssey 2 Untold: Knight of Fafnir","Atlus","Role-Playing",2015,8
"Fallout 4","Bethesda Softworks","Role-Playing",2015,9
"Fast Racing Neo","Shin'en","Racing",2015,8.1
"Fatal Frame: Maiden of Black Water","Nintendo","Misc",2015,5.8
"FIFA 16","EA Sports","Sports",2015,9
"Gunman Clive 2","Horberg Productions","Action",2015,8.3
"Halo 5: Guardians","Microsoft Studios","Shooter",2015,8.6
"Hatsune Miku: Project Mirai DX","Sega","Misc",2015,7.5
"Helldivers","Sony Computer Entertainment","Action",2015,8.7
"Her Story","Sam Barlow","Adventure",2015,8.7
"Hotline Miami 2: Wrong Number","Devolver Digital","Shooter",2015,8.3
"IronFall Invasion","VD-dev","Shooter",2015,4.5
"Just Cause 3","Square Enix","Action-Adventure",2015,7.6
"Kirby and the Rainbow Curse","Nintendo","Platform",2015,8.2
"LBX: Little Battlers eXperience","Nintendo","Action",2015,7
"LEGO Worlds","Warner Bros. Interactive Entertainment","Misc",2015,5
"Lord of Magna: Maiden Heaven","Xseed Games","Role-Playing",2015,7
"Madden NFL 16","EA Sports","Sports",2015,8.4
"Mario Party 10","Nintendo","Misc",2015,6.3
"Mario Tennis Ultra Smash","Nintendo","Sports",2015,6.1
"Mario vs. Donkey Kong: Tipping Stars","Nintendo","Puzzle",2015,6.5
"Monster Hunter 4 Ultimate","Capcom","Role-Playing",2015,8.8
"NBA 2K16","2K Sports","Sports",2015,8.7
"Need for Speed (2015)","Electronic Arts","Racing",2015,7
"Nightside","Omnidream Creations","Strategy",2015,4
"Pillars of Eternity","Paradox Interactive","Role-Playing",2015,8.3
"Pokemon Rumble World","Nintendo","Action",2015,7
"Pokemon Super Mystery Dungeon","Nintendo","Role-Playing",2015,7.7
"Puzzle & Dragons Z + Super Mario Bros. Edition","Nintendo","Puzzle",2015,7.8
"Republique","GungHo Online Entertainment","Action-Adventure",2015,6.5
"Rocket League","Psyonix Studios","Sports",2015,9.2
"Rodea the Sky Soldier","NIS America","Action-Adventure",2015,7
"Shin Megami Tensei: Devil Survivor 2 Record Breaker","Atlus","Role-Playing",2015,8.4
"Skylanders: SuperChargers","Activision","Action-Adventure",2015,8
"Splatoon","Nintendo","Shooter",2015,8.4
"Star Wars Battlefront (2015)","Electronic Arts","Shooter",2015,7.5
"StarCraft II: Legacy of the Void","Blizzard Entertainment","Strategy",2015,8.8
"Stella Glow","Atlus","Role-Playing",2015,7.5
"Story of Seasons","Xseed Games","Misc",2015,7.7
"Super Mario Maker","Nintendo","Platform",2015,8.8
"The Legend of Legacy","Atlus","Role-Playing",2015,6
"The Legend of Zelda: Majora's Mask 3D","Nintendo","Action-Adventure",2015,9
"The Legend of Zelda: Tri Force Heroes","Nintendo","Adventure",2015,7.4
"The Order: 1886","Sony Computer Entertainment","Shooter",2015,6.2
"Wolfenstein: The Old Blood","Bethesda Softworks","Shooter",2015,8
"Xenoblade Chronicles X","Nintendo","Role-Playing",2015,8.1
"Yokai Watch","Nintendo","Role-Playing",2015,7.7
"Yoshi's Woolly World","Nintendo","Platform",2015,6.7
"Zombi","Ubisoft","Action",2015,7.5
"2014 FIFA World Cup Brazil","EA Sports","Sports",2014,7.9
"Atelier Rorona: Alchemist of Arland","NIS America","Role-Playing",2014,6.4
"Azure Striker Gunvolt","Inti Creates","Action",2014,8
"Bayonetta 2","Nintendo","Action",2014,9.5
"Bravely Default: Flying Fairy","Nintendo","Role-Playing",2014,8.2
"Call of Duty: Advanced Warfare","Activision","Shooter",2014,9.1
"Captain Toad: Treasure Tracker","Nintendo","Puzzle",2014,8.5
"Destiny","Activision","Shooter",2014,8.3
"Disney Infinity 2.0: Marvel Super Heroes","Disney Interactive Studios","Action-Adventure",2014,8
"Disney Magic Castle: My Happy Life","Nintendo","Simulation",2014,7.9
"Donkey Kong Country: Tropical Freeze","Nintendo","Platform",2014,9.1
"Driveclub","Sony Computer Entertainment","Racing",2014,7.2
"Dust: An Elysian Tail","Humble Hearts","Platform",2014,10
"Fantasy Life","Nintendo","Role-Playing",2014,6.9
"Far Cry 4","Ubisoft","Shooter",2014,8.5
"FIFA 15","EA Sports","Sports",2014,8.1
"Football Manager Classic 2014","Sega","Sports",2014,5.8
"Freedom Planet","Galaxy Trail","Platform",2014,9
"Hyrule Warriors","Nintendo","Misc",2014,7.4
"Just Dance 2015","Ubisoft","Music",2014,8.1
"Kirby: Triple Deluxe","Nintendo","Platform",2014,7.8
"Lego Batman 3: Beyond Gotham","Warner Bros. Interactive Entertainment","Action",2014,7.4
"LEGO The Hobbit","Warner Bros. Interactive Entertainment","Action-Adventure",2014,7
"Mario Golf: World Tour","Nintendo","Sports",2014,8.1
"Mario Kart 8","Nintendo","Racing",2014,8.8
"Metal Gear Solid V: Ground Zeroes","Konami Digital Entertainment","Action-Adventure",2014,8.5
"Mighty Gunvolt","Inti Creates","Action",2014,7.3
"Minecraft","Sony Computer Entertainment","Misc",2014,9.4
"MLB 14 The Show","Sony Computer Entertainment","Sports",2014,8.3
"MLB 14 The Show","Sony Computer Entertainment America","Sports",2014,8.2
"Monument Valley","Ustwo Games","Puzzle",2014,8.7
"Persona Q: Shadow of the Labyrinth","Atlus","Role-Playing",2014,8.3
"Phoenix Wright: Ace Attorney - Dual Destinies","Unknown","Misc",2014,8.1
"Plants vs Zombies: Garden Warfare","Electronic Arts","Shooter",2014,8
"Pokemon Art Academy","Nintendo","Misc",2014,7.8
"Professor Layton and the Azran Legacy","Nintendo","Puzzle",2014,8
"Professor Layton vs Ace Attorney","Nintendo","Adventure",2014,8.1
"Puyo Puyo Tetris","Sega","Puzzle",2014,8.3
"Risen 3: Titan Lords Enhanced Edition","Deep Silver","Role-Playing",2014,6.3
"Shantae and the Pirate's Curse","WayForward Technologies","Platform",2014,7.7
"Shovel Knight","Yacht Club Games","Platform",2014,9
"Sleeping Dogs: Definitive Edition","Square Enix","Action-Adventure",2014,7.5
"Sonic Boom: Rise of Lyric","Sega","Action-Adventure",2014,3.7
"Sonic Boom: Shattered Crystal","Sega","Platform",2014,3.8
